index,name,rank,generation,evolves_from,type1,type2,hp,atk,def,spatk,spdef,speed,total
331,Cacnea,Ordinary,3,Original,Grass,Grass,50,85,40,85,40,35,335
332,Cacturne,Ordinary,3,Cacnea,Grass,Dark,70,115,60,115,60,55,475
333,Swablu,Ordinary,3,Original,Normal,Flying,45,40,60,40,75,50,310
334,Altaria,Ordinary,3,Swablu,Dragon,Flying,75,70,90,70,105,80,490
335,Zangoose,Ordinary,3,Original,Normal,Normal,73,115,60,60,60,90,458
336,Seviper,Ordinary,3,Original,Poison,Poison,73,100,60,100,60,65,458
337,Lunatone,Ordinary,3,Original,Rock,Psychic,90,55,65,95,85,70,460
338,Solrock,Ordinary,3,Original,Rock,Psychic,90,95,85,55,65,70,460
339,Barboach,Ordinary,3,Original,Water,Ground,50,48,43,46,41,60,288
340,Whiscash,Ordinary,3,Barboach,Water,Ground,110,78,73,76,71,60,468
341,Corphish,Ordinary,3,Original,Water,Water,43,80,65,50,35,35,308
342,Crawdaunt,Ordinary,3,Corphish,Water,Dark,63,120,85,90,55,55,468
343,Baltoy,Ordinary,3,Original,Ground,Psychic,40,40,55,40,70,55,300
344,Claydol,Ordinary,3,Baltoy,Ground,Psychic,60,70,105,70,120,75,500
345,Lileep,Ordinary,3,Original,Rock,Grass,66,41,77,61,87,23,355
346,Cradily,Ordinary,3,Lileep,Rock,Grass,86,81,97,81,107,43,495
347,Anorith,Ordinary,3,Original,Rock,Bug,45,95,50,40,50,75,355
348,Armaldo,Ordinary,3,Anorith,Rock,Bug,75,125,100,70,80,45,495
349,Feebas,Ordinary,3,Original,Water,Water,20,15,20,10,55,80,200
350,Milotic,Ordinary,3,Feebas,Water,Water,95,60,79,100,125,81,540
351,Castform,Ordinary,3,Original,Normal,Normal,70,70,70,70,70,70,420
352,Kecleon,Ordinary,3,Original,Normal,Normal,60,90,70,60,120,40,440
353,Shuppet,Ordinary,3,Original,Ghost,Ghost,44,75,35,63,33,45,295
354,Banette,Ordinary,3,Shuppet,Ghost,Ghost,64,115,65,83,63,65,455
355,Duskull,Ordinary,3,Original,Ghost,Ghost,20,40,90,30,90,25,295
356,Dusclops,Ordinary,3,Duskull,Ghost,Ghost,40,70,130,60,130,25,455
357,Tropius,Ordinary,3,Original,Grass,Flying,99,68,83,72,87,51,460
358,Chimecho,Ordinary,3,Chingling,Psychic,Psychic,75,50,80,95,90,65,455
359,Absol,Ordinary,3,Original,Dark,Dark,65,130,60,75,60,75,465
360,Wynaut,Baby,3,Original,Psychic,Psychic,95,23,48,23,48,23,260
361,Snorunt,Ordinary,3,Original,Ice,Ice,50,50,50,50,50,50,300
362,Glalie,Ordinary,3,Snorunt,Ice,Ice,80,80,80,80,80,80,480
363,Spheal,Ordinary,3,Original,Ice,Water,70,40,50,55,50,25,290
364,Sealeo,Ordinary,3,Spheal,Ice,Water,90,60,70,75,70,45,410
365,Walrein,Ordinary,3,Sealeo,Ice,Water,110,80,90,95,90,65,530
366,Clamperl,Ordinary,3,Original,Water,Water,35,64,85,74,55,32,345
367,Huntail,Ordinary,3,Clamperl,Water,Water,55,104,105,94,75,52,485
368,Gorebyss,Ordinary,3,Clamperl,Water,Water,55,84,105,114,75,52,485
369,Relicanth,Ordinary,3,Original,Water,Rock,100,90,130,45,65,55,485
370,Luvdisc,Ordinary,3,Original,Water,Water,43,30,55,40,65,97,330
371,Bagon,Ordinary,3,Original,Dragon,Dragon,45,75,60,40,30,50,300
372,Shelgon,Ordinary,3,Bagon,Dragon,Dragon,65,95,100,60,50,50,420
373,Salamence,Ordinary,3,Shelgon,Dragon,Flying,95,135,80,110,80,100,600
374,Beldum,Ordinary,3,Original,Steel,Psychic,40,55,80,35,60,30,300
375,Metang,Ordinary,3,Beldum,Steel,Psychic,60,75,100,55,80,50,420
376,Metagross,Ordinary,3,Metang,Steel,Psychic,80,135,130,95,90,70,600
377,Regirock,Legendary,3,Original,Rock,Rock,80,100,200,50,100,50,580
378,Regice,Legendary,3,Original,Ice,Ice,80,50,100,100,200,50,580
379,Registeel,Legendary,3,Original,Steel,Steel,80,75,150,75,150,50,580
380,Latias,Legendary,3,Original,Dragon,Psychic,80,80,90,110,130,110,600
381,Latios,Legendary,3,Original,Dragon,Psychic,80,90,80,130,110,110,600
382,Kyogre,Legendary,3,Original,Water,Water,100,100,90,150,140,90,670
383,Groudon,Legendary,3,Original,Ground,Ground,100,150,140,100,90,90,670
384,Rayquaza,Legendary,3,Original,Dragon,Flying,105,150,90,150,90,95,680
385,Jirachi,Mythical,3,Original,Steel,Psychic,100,100,100,100,100,100,600
386,Deoxys,Mythical,3,Original,Psychic,Psychic,50,150,50,150,50,150,600
387,Turtwig,Ordinary,4,Original,Grass,Grass,55,68,64,45,55,31,318
388,Grotle,Ordinary,4,Turtwig,Grass,Grass,75,89,85,55,65,36,405
389,Torterra,Ordinary,4,Grotle,Grass,Ground,95,109,105,75,85,56,525
390,Chimchar,Ordinary,4,Original,Fire,Fire,44,58,44,58,44,61,309
391,Monferno,Ordinary,4,Chimchar,Fire,Fighting,64,78,52,78,52,81,405
392,Infernape,Ordinary,4,Monferno,Fire,Fighting,76,104,71,104,71,108,534
393,Piplup,Ordinary,4,Original,Water,Water,53,51,53,61,56,40,314
394,Prinplup,Ordinary,4,Piplup,Water,Water,64,66,68,81,76,50,405
395,Empoleon,Ordinary,4,Prinplup,Water,Steel,84,86,88,111,101,60,530
396,Starly,Ordinary,4,Original,Normal,Flying,40,55,30,30,30,60,245
397,Staravia,Ordinary,4,Starly,Normal,Flying,55,75,50,40,40,80,340
398,Staraptor,Ordinary,4,Staravia,Normal,Flying,85,120,70,50,60,100,485
399,Bidoof,Ordinary,4,Original,Normal,Normal,59,45,40,35,40,31,250
400,Bibarel,Ordinary,4,Bidoof,Normal,Water,79,85,60,55,60,71,410
401,Kricketot,Ordinary,4,Original,Bug,Bug,37,25,41,25,41,25,194
402,Kricketune,Ordinary,4,Kricketot,Bug,Bug,77,85,51,55,51,65,384
403,Shinx,Ordinary,4,Original,Electric,Electric,45,65,34,40,34,45,263
404,Luxio,Ordinary,4,Shinx,Electric,Electric,60,85,49,60,49,60,363
405,Luxray,Ordinary,4,Luxio,Electric,Electric,80,120,79,95,79,70,523
406,Budew,Baby,4,Original,Grass,Poison,40,30,35,50,70,55,280
407,Roserade,Ordinary,4,Roselia,Grass,Poison,60,70,65,125,105,90,515
408,Cranidos,Ordinary,4,Original,Rock,Rock,67,125,40,30,30,58,350
409,Rampardos,Ordinary,4,Cranidos,Rock,Rock,97,165,60,65,50,58,495
410,Shieldon,Ordinary,4,Original,Rock,Steel,30,42,118,42,88,30,350
411,Bastiodon,Ordinary,4,Shieldon,Rock,Steel,60,52,168,47,138,30,495
412,Burmy,Ordinary,4,Original,Bug,Bug,40,29,45,29,45,36,224
413,Wormadam,Ordinary,4,Burmy,Bug,Grass,60,59,85,79,105,36,424
414,Mothim,Ordinary,4,Burmy,Bug,Flying,70,94,50,94,50,66,424
415,Combee,Ordinary,4,Original,Bug,Flying,30,30,42,30,42,70,244
416,Vespiquen,Ordinary,4,Combee,Bug,Flying,70,80,102,80,102,40,474
417,Pachirisu,Ordinary,4,Original,Electric,Electric,60,45,70,45,90,95,405
418,Buizel,Ordinary,4,Original,Water,Water,55,65,35,60,30,85,330
419,Floatzel,Ordinary,4,Buizel,Water,Water,85,105,55,85,50,115,495
420,Cherubi,Ordinary,4,Original,Grass,Grass,45,35,45,62,53,35,275
421,Cherrim,Ordinary,4,Cherubi,Grass,Grass,70,60,70,87,78,85,450
422,Shellos,Ordinary,4,Original,Water,Water,76,48,48,57,62,34,325
423,Gastrodon,Ordinary,4,Shellos,Water,Ground,111,83,68,92,82,39,475
424,Ambipom,Ordinary,4,Aipom,Normal,Normal,75,100,66,60,66,115,482
425,Drifloon,Ordinary,4,Original,Ghost,Flying,90,50,34,60,44,70,348
426,Drifblim,Ordinary,4,Drifloon,Ghost,Flying,150,80,44,90,54,80,498
427,Buneary,Ordinary,4,Original,Normal,Normal,55,66,44,44,56,85,350
428,Lopunny,Ordinary,4,Buneary,Normal,Normal,65,76,84,54,96,105,480
429,Mismagius,Ordinary,4,Misdreavus,Ghost,Ghost,60,60,60,105,105,105,495
430,Honchkrow,Ordinary,4,Murkrow,Dark,Flying,100,125,52,105,52,71,505
431,Glameow,Ordinary,4,Original,Normal,Normal,49,55,42,42,37,85,310
432,Purugly,Ordinary,4,Glameow,Normal,Normal,71,82,64,64,59,112,452
433,Chingling,Baby,4,Original,Psychic,Psychic,45,30,50,65,50,45,285
434,Stunky,Ordinary,4,Original,Poison,Dark,63,63,47,41,41,74,329
435,Skuntank,Ordinary,4,Stunky,Poison,Dark,103,93,67,71,61,84,479
436,Bronzor,Ordinary,4,Original,Steel,Psychic,57,24,86,24,86,23,300
437,Bronzong,Ordinary,4,Bronzor,Steel,Psychic,67,89,116,79,116,33,500
438,Bonsly,Baby,4,Original,Rock,Rock,50,80,95,10,45,10,290
439,Mime-Jr,Baby,4,Original,Psychic,Fairy,20,25,45,70,90,60,310
440,Happiny,Baby,4,Original,Normal,Normal,100,5,5,15,65,30,220
441,Chatot,Ordinary,4,Original,Normal,Flying,76,65,45,92,42,91,411
442,Spiritomb,Ordinary,4,Original,Ghost,Dark,50,92,108,92,108,35,485
443,Gible,Ordinary,4,Original,Dragon,Ground,58,70,45,40,45,42,300
444,Gabite,Ordinary,4,Gible,Dragon,Ground,68,90,65,50,55,82,410
445,Garchomp,Ordinary,4,Gabite,Dragon,Ground,108,130,95,80,85,102,600
446,Munchlax,Baby,4,Original,Normal,Normal,135,85,40,40,85,5,390
447,Riolu,Baby,4,Original,Fighting,Fighting,40,70,40,35,40,60,285
448,Lucario,Ordinary,4,Riolu,Fighting,Steel,70,110,70,115,70,90,525
449,Hippopotas,Ordinary,4,Original,Ground,Ground,68,72,78,38,42,32,330
450,Hippowdon,Ordinary,4,Hippopotas,Ground,Ground,108,112,118,68,72,47,525
451,Skorupi,Ordinary,4,Original,Poison,Bug,40,50,90,30,55,65,330
452,Drapion,Ordinary,4,Skorupi,Poison,Dark,70,90,110,60,75,95,500
453,Croagunk,Ordinary,4,Original,Poison,Fighting,48,61,40,61,40,50,300
454,Toxicroak,Ordinary,4,Croagunk,Poison,Fighting,83,106,65,86,65,85,490
455,Carnivine,Ordinary,4,Original,Grass,Grass,74,100,72,90,72,46,454
456,Finneon,Ordinary,4,Original,Water,Water,49,49,56,49,61,66,330
457,Lumineon,Ordinary,4,Finneon,Water,Water,69,69,76,69,86,91,460
458,Mantyke,Baby,4,Original,Water,Flying,45,20,50,60,120,50,345
459,Snover,Ordinary,4,Original,Grass,Ice,60,62,50,62,60,40,334
460,Abomasnow,Ordinary,4,Snover,Grass,Ice,90,92,75,92,85,60,494
461,Weavile,Ordinary,4,Sneasel,Dark,Ice,70,120,65,45,85,125,510
462,Magnezone,Ordinary,4,Magneton,Electric,Steel,70,70,115,130,90,60,535
463,Lickilicky,Ordinary,4,Lickitung,Normal,Normal,110,85,95,80,95,50,515
464,Rhyperior,Ordinary,4,Rhydon,Ground,Rock,115,140,130,55,55,40,535
465,Tangrowth,Ordinary,4,Tangela,Grass,Grass,100,100,125,110,50,50,535
466,Electivire,Ordinary,4,Electabuzz,Electric,Electric,75,123,67,95,85,95,540
467,Magmortar,Ordinary,4,Magmar,Fire,Fire,75,95,67,125,95,83,540
468,Togekiss,Ordinary,4,Togetic,Fairy,Flying,85,50,95,120,115,80,545
469,Yanmega,Ordinary,4,Yanma,Bug,Flying,86,76,86,116,56,95,515
470,Leafeon,Ordinary,4,Eevee,Grass,Grass,65,110,130,60,65,95,525
471,Glaceon,Ordinary,4,Eevee,Ice,Ice,65,60,110,130,95,65,525
472,Gliscor,Ordinary,4,Gligar,Ground,Flying,75,95,125,45,75,95,510
473,Mamoswine,Ordinary,4,Piloswine,Ice,Ground,110,130,80,70,60,80,530
474,Porygon-Z,Ordinary,4,Porygon2,Normal,Normal,85,80,70,135,75,90,535
475,Gallade,Ordinary,4,Kirlia,Psychic,Fighting,68,125,65,65,115,80,518
476,Probopass,Ordinary,4,Nosepass,Rock,Steel,60,55,145,75,150,40,525
477,Dusknoir,Ordinary,4,Dusclops,Ghost,Ghost,45,100,135,65,135,45,525
478,Froslass,Ordinary,4,Snorunt,Ice,Ghost,70,80,70,80,70,110,480
479,Rotom,Ordinary,4,Original,Electric,Ghost,50,50,77,95,77,91,440
480,Uxie,Legendary,4,Original,Psychic,Psychic,75,75,130,75,130,95,580
481,Mesprit,Legendary,4,Original,Psychic,Psychic,80,105,105,105,105,80,580
482,Azelf,Legendary,4,Original,Psychic,Psychic,75,125,70,125,70,115,580
483,Dialga,Legendary,4,Original,Steel,Dragon,100,120,120,150,100,90,680
484,Palkia,Legendary,4,Original,Water,Dragon,90,120,100,150,120,100,680
485,Heatran,Legendary,4,Original,Fire,Steel,91,90,106,130,106,77,600
486,Regigigas,Legendary,4,Original,Normal,Normal,110,160,110,80,110,100,670
487,Giratina,Legendary,4,Original,Ghost,Dragon,150,100,120,100,120,90,680
488,Cresselia,Legendary,4,Original,Psychic,Psychic,120,70,110,75,120,85,580
489,Phione,Mythical,4,Original,Water,Water,80,80,80,80,80,80,480
490,Manaphy,Mythical,4,Original,Water,Water,100,100,100,100,100,100,600
491,Darkrai,Mythical,4,Original,Dark,Dark,70,90,90,135,90,125,600
492,Shaymin,Mythical,4,Original,Grass,Grass,100,100,100,100,100,100,600
493,Arceus,Mythical,4,Original,Normal,Normal,120,120,120,120,120,120,720
494,Victini,Mythical,5,Original,Psychic,Fire,100,100,100,100,100,100,600
495,Snivy,Ordinary,5,Original,Grass,Grass,45,45,55,45,55,63,308
496,Servine,Ordinary,5,Snivy,Grass,Grass,60,60,75,60,75,83,413
497,Serperior,Ordinary,5,Servine,Grass,Grass,75,75,95,75,95,113,528
498,Tepig,Ordinary,5,Original,Fire,Fire,65,63,45,45,45,45,308
499,Pignite,Ordinary,5,Tepig,Fire,Fighting,90,93,55,70,55,55,418
500,Emboar,Ordinary,5,Pignite,Fire,Fighting,110,123,65,100,65,65,528
501,Oshawott,Ordinary,5,Original,Water,Water,55,55,45,63,45,45,308
502,Dewott,Ordinary,5,Oshawott,Water,Water,75,75,60,83,60,60,413
503,Samurott,Ordinary,5,Dewott,Water,Water,95,100,85,108,70,70,528
504,Patrat,Ordinary,5,Original,Normal,Normal,45,55,39,35,39,42,255
505,Watchog,Ordinary,5,Patrat,Normal,Normal,60,85,69,60,69,77,420
506,Lillipup,Ordinary,5,Original,Normal,Normal,45,60,45,25,45,55,275
507,Herdier,Ordinary,5,Lillipup,Normal,Normal,65,80,65,35,65,60,370
508,Stoutland,Ordinary,5,Herdier,Normal,Normal,85,110,90,45,90,80,500
509,Purrloin,Ordinary,5,Original,Dark,Dark,41,50,37,50,37,66,281
510,Liepard,Ordinary,5,Purrloin,Dark,Dark,64,88,50,88,50,106,446
511,Pansage,Ordinary,5,Original,Grass,Grass,50,53,48,53,48,64,316
512,Simisage,Ordinary,5,Pansage,Grass,Grass,75,98,63,98,63,101,498
513,Pansear,Ordinary,5,Original,Fire,Fire,50,53,48,53,48,64,316
514,Simisear,Ordinary,5,Pansear,Fire,Fire,75,98,63,98,63,101,498
515,Panpour,Ordinary,5,Original,Water,Water,50,53,48,53,48,64,316
516,Simipour,Ordinary,5,Panpour,Water,Water,75,98,63,98,63,101,498
517,Munna,Ordinary,5,Original,Psychic,Psychic,76,25,45,67,55,24,292
518,Musharna,Ordinary,5,Munna,Psychic,Psychic,116,55,85,107,95,29,487
519,Pidove,Ordinary,5,Original,Normal,Flying,50,55,50,36,30,43,264
520,Tranquill,Ordinary,5,Pidove,Normal,Flying,62,77,62,50,42,65,358
521,Unfezant,Ordinary,5,Tranquill,Normal,Flying,80,115,80,65,55,93,488
522,Blitzle,Ordinary,5,Original,Electric,Electric,45,60,32,50,32,76,295
523,Zebstrika,Ordinary,5,Blitzle,Electric,Electric,75,100,63,80,63,116,497
524,Roggenrola,Ordinary,5,Original,Rock,Rock,55,75,85,25,25,15,280
525,Boldore,Ordinary,5,Roggenrola,Rock,Rock,70,105,105,50,40,20,390
526,Gigalith,Ordinary,5,Boldore,Rock,Rock,85,135,130,60,80,25,515
527,Woobat,Ordinary,5,Original,Psychic,Flying,65,45,43,55,43,72,323
528,Swoobat,Ordinary,5,Woobat,Psychic,Flying,67,57,55,77,55,114,425
529,Drilbur,Ordinary,5,Original,Ground,Ground,60,85,40,30,45,68,328
530,Excadrill,Ordinary,5,Drilbur,Ground,Steel,110,135,60,50,65,88,508
531,Audino,Ordinary,5,Original,Normal,Normal,103,60,86,60,86,50,445
532,Timburr,Ordinary,5,Original,Fighting,Fighting,75,80,55,25,35,35,305
533,Gurdurr,Ordinary,5,Timburr,Fighting,Fighting,85,105,85,40,50,40,405
534,Conkeldurr,Ordinary,5,Gurdurr,Fighting,Fighting,105,140,95,55,65,45,505
535,Tympole,Ordinary,5,Original,Water,Water,50,50,40,50,40,64,294
536,Palpitoad,Ordinary,5,Tympole,Water,Ground,75,65,55,65,55,69,384
537,Seismitoad,Ordinary,5,Palpitoad,Water,Ground,105,95,75,85,75,74,509
538,Throh,Ordinary,5,Original,Fighting,Fighting,120,100,85,30,85,45,465
539,Sawk,Ordinary,5,Original,Fighting,Fighting,75,125,75,30,75,85,465
540,Sewaddle,Ordinary,5,Original,Bug,Grass,45,53,70,40,60,42,310
541,Swadloon,Ordinary,5,Sewaddle,Bug,Grass,55,63,90,50,80,42,380
542,Leavanny,Ordinary,5,Swadloon,Bug,Grass,75,103,80,70,80,92,500
543,Venipede,Ordinary,5,Original,Bug,Poison,30,45,59,30,39,57,260
544,Whirlipede,Ordinary,5,Venipede,Bug,Poison,40,55,99,40,79,47,360
545,Scolipede,Ordinary,5,Whirlipede,Bug,Poison,60,100,89,55,69,112,485
546,Cottonee,Ordinary,5,Original,Grass,Fairy,40,27,60,37,50,66,280
547,Whimsicott,Ordinary,5,Cottonee,Grass,Fairy,60,67,85,77,75,116,480
548,Petilil,Ordinary,5,Original,Grass,Grass,45,35,50,70,50,30,280
549,Lilligant,Ordinary,5,Petilil,Grass,Grass,70,60,75,110,75,90,480
550,Basculin,Ordinary,5,Original,Water,Water,70,92,65,80,55,98,460
551,Sandile,Ordinary,5,Original,Ground,Dark,50,72,35,35,35,65,292
552,Krokorok,Ordinary,5,Sandile,Ground,Dark,60,82,45,45,45,74,351
553,Krookodile,Ordinary,5,Krokorok,Ground,Dark,95,117,80,65,70,92,519
554,Darumaka,Ordinary,5,Original,Fire,Fire,70,90,45,15,45,50,315
555,Darmanitan,Ordinary,5,Darumaka,Fire,Fire,105,140,55,30,55,95,480
556,Maractus,Ordinary,5,Original,Grass,Grass,75,86,67,106,67,60,461
557,Dwebble,Ordinary,5,Original,Bug,Rock,50,65,85,35,35,55,325
558,Crustle,Ordinary,5,Dwebble,Bug,Rock,70,105,125,65,75,45,485
559,Scraggy,Ordinary,5,Original,Dark,Fighting,50,75,70,35,70,48,348
560,Scrafty,Ordinary,5,Scraggy,Dark,Fighting,65,90,115,45,115,58,488
561,Sigilyph,Ordinary,5,Original,Psychic,Flying,72,58,80,103,80,97,490
562,Yamask,Ordinary,5,Original,Ghost,Ghost,38,30,85,55,65,30,303
563,Cofagrigus,Ordinary,5,Yamask,Ghost,Ghost,58,50,145,95,105,30,483
564,Tirtouga,Ordinary,5,Original,Water,Rock,54,78,103,53,45,22,355
565,Carracosta,Ordinary,5,Tirtouga,Water,Rock,74,108,133,83,65,32,495
566,Archen,Ordinary,5,Original,Rock,Flying,55,112,45,74,45,70,401
567,Archeops,Ordinary,5,Archen,Rock,Flying,75,140,65,112,65,110,567
568,Trubbish,Ordinary,5,Original,Poison,Poison,50,50,62,40,62,65,329
569,Garbodor,Ordinary,5,Trubbish,Poison,Poison,80,95,82,60,82,75,474
570,Zorua,Ordinary,5,Original,Dark,Dark,40,65,40,80,40,65,330
571,Zoroark,Ordinary,5,Zorua,Dark,Dark,60,105,60,120,60,105,510
572,Minccino,Ordinary,5,Original,Normal,Normal,55,50,40,40,40,75,300
573,Cinccino,Ordinary,5,Minccino,Normal,Normal,75,95,60,65,60,115,470
574,Gothita,Ordinary,5,Original,Psychic,Psychic,45,30,50,55,65,45,290
575,Gothorita,Ordinary,5,Gothita,Psychic,Psychic,60,45,70,75,85,55,390
576,Gothitelle,Ordinary,5,Gothorita,Psychic,Psychic,70,55,95,95,110,65,490
577,Solosis,Ordinary,5,Original,Psychic,Psychic,45,30,40,105,50,20,290
578,Duosion,Ordinary,5,Solosis,Psychic,Psychic,65,40,50,125,60,30,370
579,Reuniclus,Ordinary,5,Duosion,Psychic,Psychic,110,65,75,125,85,30,490
580,Ducklett,Ordinary,5,Original,Water,Flying,62,44,50,44,50,55,305
581,Swanna,Ordinary,5,Ducklett,Water,Flying,75,87,63,87,63,98,473
582,Vanillite,Ordinary,5,Original,Ice,Ice,36,50,50,65,60,44,305
583,Vanillish,Ordinary,5,Vanillite,Ice,Ice,51,65,65,80,75,59,395
584,Vanilluxe,Ordinary,5,Vanillish,Ice,Ice,71,95,85,110,95,79,535
585,Deerling,Ordinary,5,Original,Normal,Grass,60,60,50,40,50,75,335
586,Sawsbuck,Ordinary,5,Deerling,Normal,Grass,80,100,70,60,70,95,475
587,Emolga,Ordinary,5,Original,Electric,Flying,55,75,60,75,60,103,428
588,Karrablast,Ordinary,5,Original,Bug,Bug,50,75,45,40,45,60,315
589,Escavalier,Ordinary,5,Karrablast,Bug,Steel,70,135,105,60,105,20,495
590,Foongus,Ordinary,5,Original,Grass,Poison,69,55,45,55,55,15,294
591,Amoonguss,Ordinary,5,Foongus,Grass,Poison,114,85,70,85,80,30,464
592,Frillish,Ordinary,5,Original,Water,Ghost,55,40,50,65,85,40,335
593,Jellicent,Ordinary,5,Frillish,Water,Ghost,100,60,70,85,105,60,480
594,Alomomola,Ordinary,5,Original,Water,Water,165,75,80,40,45,65,470
595,Joltik,Ordinary,5,Original,Bug,Electric,50,47,50,57,50,65,319
596,Galvantula,Ordinary,5,Joltik,Bug,Electric,70,77,60,97,60,108,472
597,Ferroseed,Ordinary,5,Original,Grass,Steel,44,50,91,24,86,10,305
598,Ferrothorn,Ordinary,5,Ferroseed,Grass,Steel,74,94,131,54,116,20,489
599,Klink,Ordinary,5,Original,Steel,Steel,40,55,70,45,60,30,300
600,Klang,Ordinary,5,Klink,Steel,Steel,60,80,95,70,85,50,440
601,Klinklang,Ordinary,5,Klang,Steel,Steel,60,100,115,70,85,90,520
602,Tynamo,Ordinary,5,Original,Electric,Electric,35,55,40,45,40,60,275
603,Eelektrik,Ordinary,5,Tynamo,Electric,Electric,65,85,70,75,70,40,405
604,Eelektross,Ordinary,5,Eelektrik,Electric,Electric,85,115,80,105,80,50,515
605,Elgyem,Ordinary,5,Original,Psychic,Psychic,55,55,55,85,55,30,335
606,Beheeyem,Ordinary,5,Elgyem,Psychic,Psychic,75,75,75,125,95,40,485
607,Litwick,Ordinary,5,Original,Ghost,Fire,50,30,55,65,55,20,275
608,Lampent,Ordinary,5,Litwick,Ghost,Fire,60,40,60,95,60,55,370
609,Chandelure,Ordinary,5,Lampent,Ghost,Fire,60,55,90,145,90,80,520
610,Axew,Ordinary,5,Original,Dragon,Dragon,46,87,60,30,40,57,320
611,Fraxure,Ordinary,5,Axew,Dragon,Dragon,66,117,70,40,50,67,410
612,Haxorus,Ordinary,5,Fraxure,Dragon,Dragon,76,147,90,60,70,97,540
613,Cubchoo,Ordinary,5,Original,Ice,Ice,55,70,40,60,40,40,305
614,Beartic,Ordinary,5,Cubchoo,Ice,Ice,95,130,80,70,80,50,505
615,Cryogonal,Ordinary,5,Original,Ice,Ice,80,50,50,95,135,105,515
616,Shelmet,Ordinary,5,Original,Bug,Bug,50,40,85,40,65,25,305
617,Accelgor,Ordinary,5,Shelmet,Bug,Bug,80,70,40,100,60,145,495
618,Stunfisk,Ordinary,5,Original,Ground,Electric,109,66,84,81,99,32,471
619,Mienfoo,Ordinary,5,Original,Fighting,Fighting,45,85,50,55,50,65,350
620,Mienshao,Ordinary,5,Mienfoo,Fighting,Fighting,65,125,60,95,60,105,510
621,Druddigon,Ordinary,5,Original,Dragon,Dragon,77,120,90,60,90,48,485
622,Golett,Ordinary,5,Original,Ground,Ghost,59,74,50,35,50,35,303
623,Golurk,Ordinary,5,Golett,Ground,Ghost,89,124,80,55,80,55,483
624,Pawniard,Ordinary,5,Original,Dark,Steel,45,85,70,40,40,60,340
625,Bisharp,Ordinary,5,Pawniard,Dark,Steel,65,125,100,60,70,70,490
626,Bouffalant,Ordinary,5,Original,Normal,Normal,95,110,95,40,95,55,490
627,Rufflet,Ordinary,5,Original,Normal,Flying,70,83,50,37,50,60,350
628,Braviary,Ordinary,5,Rufflet,Normal,Flying,100,123,75,57,75,80,510
629,Vullaby,Ordinary,5,Original,Dark,Flying,70,55,75,45,65,60,370
630,Mandibuzz,Ordinary,5,Vullaby,Dark,Flying,110,65,105,55,95,80,510
631,Heatmor,Ordinary,5,Original,Fire,Fire,85,97,66,105,66,65,484
632,Durant,Ordinary,5,Original,Bug,Steel,58,109,112,48,48,109,484
633,Deino,Ordinary,5,Original,Dark,Dragon,52,65,50,45,50,38,300
634,Zweilous,Ordinary,5,Deino,Dark,Dragon,72,85,70,65,70,58,420
635,Hydreigon,Ordinary,5,Zweilous,Dark,Dragon,92,105,90,125,90,98,600
636,Larvesta,Ordinary,5,Original,Bug,Fire,55,85,55,50,55,60,360
637,Volcarona,Ordinary,5,Larvesta,Bug,Fire,85,60,65,135,105,100,550
638,Cobalion,Legendary,5,Original,Steel,Fighting,91,90,129,90,72,108,580
639,Terrakion,Legendary,5,Original,Rock,Fighting,91,129,90,72,90,108,580
640,Virizion,Legendary,5,Original,Grass,Fighting,91,90,72,90,129,108,580
641,Tornadus,Legendary,5,Original,Flying,Flying,79,115,70,125,80,111,580
642,Thundurus,Legendary,5,Original,Electric,Flying,79,115,70,125,80,111,580
643,Reshiram,Legendary,5,Original,Dragon,Fire,100,120,100,150,120,90,680
644,Zekrom,Legendary,5,Original,Dragon,Electric,100,150,120,120,100,90,680
645,Landorus,Legendary,5,Original,Ground,Flying,89,125,90,115,80,101,600
646,Kyurem,Legendary,5,Original,Dragon,Ice,125,130,90,130,90,95,660
647,Keldeo,Mythical,5,Original,Water,Fighting,91,72,90,129,90,108,580
648,Meloetta,Mythical,5,Original,Normal,Psychic,100,77,77,128,128,90,600
649,Genesect,Mythical,5,Original,Bug,Steel,71,120,95,120,95,99,600
650,Chespin,Ordinary,6,Original,Grass,Grass,56,61,65,48,45,38,313
651,Quilladin,Ordinary,6,Chespin,Grass,Grass,61,78,95,56,58,57,405
652,Chesnaught,Ordinary,6,Quilladin,Grass,Fighting,88,107,122,74,75,64,530
653,Fennekin,Ordinary,6,Original,Fire,Fire,40,45,40,62,60,60,307
654,Braixen,Ordinary,6,Fennekin,Fire,Fire,59,59,58,90,70,73,409
655,Delphox,Ordinary,6,Braixen,Fire,Psychic,75,69,72,114,100,104,534
656,Froakie,Ordinary,6,Original,Water,Water,41,56,40,62,44,71,314
657,Frogadier,Ordinary,6,Froakie,Water,Water,54,63,52,83,56,97,405
658,Greninja,Ordinary,6,Frogadier,Water,Dark,72,95,67,103,71,122,530
659,Bunnelby,Ordinary,6,Original,Normal,Normal,38,36,38,32,36,57,237
660,Diggersby,Ordinary,6,Bunnelby,Normal,Ground,85,56,77,50,77,78,423
661,Fletchling,Ordinary,6,Original,Normal,Flying,45,50,43,40,38,62,278
662,Fletchinder,Ordinary,6,Fletchling,Fire,Flying,62,73,55,56,52,84,382
663,Talonflame,Ordinary,6,Fletchinder,Fire,Flying,78,81,71,74,69,126,499
